no,word,target
1,ทุกคนขาา เราอยากนัดประชุมใหญ่ทริปภาควันพุธนี้ตอน 13.00 น. เพื่อนๆว่างกันมั้ย,1
2,เราขอแรงเพื่อนมาทำงานฝ่ายรปภ.ในงานรับน้องก้าวใหม่หน่อย ขอ 5 คนนะ,1
3,ประกาศจ้าา! เรื่องถ่ายรูปของงาน vidweek ของเราเป็นถ่ายวันที่ 4 ก.ค. 16.00-18.00 น.น้าา,1
4,ทุกคนงานvidweek  ปีนี้คณะเรามีให้ถ่ายรูปเพื่อให้เอาไปเปลี่ยนพร้อมกรอบในfacebook ให้เข้าตรีม มีใครอยากไปถ่ายป่าว มีเวลาตามนี้,1
5,วันศุกร์นี้มีงานจับสายรหัสนะ 15.30-16.00 น.จ้าา,1
6,"📣📣 VIDWEEK IS COMING
และตอนนี้เทศกาลรับน้องใหม่ คณะวิทยาศาสตร์หรือว่า VIDWEEK 2019 ของเราก็ใกล้เข้ามาทุกที่แล้วนะครับ 
ก่อนอื่นเลย เราต้องมาประกาศธีมก่อนก่อนเลยว่า VIDWEEK ของเราในปีนี้นั้น มาในธีม!

🌌 “VIDYA AGRABAH”🌌 ‼️

ซึ่ง อ่านว่า วิทยา อัคราบานะครับ อัคราบาก็คือเมืองของเจ้าหญิงจัสมินกับเจ้าชายอลาดินในเรื่องอลาดินนั่นเอง",1
7,จับสายรหัสน้องวันศุกร์นี้นะค้าาาา,1
8,"สำหรับงานสถานที่เฟิร์สเดตวันนี้น้าา
⏰ ลทบ.ใต้ไซน์ 11.00 น.
🍚 มีข้าวแจกจ้าา ✨

มากันเยอะๆน้าาา 💕",1
9,สถานที่ประชุมได้เป็น True Space สยามซอย 2 นะครับ,1
10,"ทุกคน งานสถานที่เฟิร์สเดตพรุ่งนี้ขอเลื่อนเวลานัดเป็น 15.00 น. น้าา
📍เจอกันใต้ไซน์
🍚มีข้าวให้ด้วยนะ ✨

มาช่วยกันเยอะๆน้าาา",1
11,ทุกคน ถ้ายังไม่ได้ข้อสรุปว่าเซคไหน ครูจะยุบให้เหลือเซค 1 แล้วนะ,1
12,วิชา OS มันมี 2 เซคแต่อ.ชัชต้องการจะยุบให้เหลือเซคเดียว,1
13,ทุกคนน เราขอความร่วมมืองานเฟิร์สเดตหน่อย,1
14,สำหรับงานวิดวีค เราได้ทำออกแบบป้ายชื่อด้วย ขอคนออกแบบป้ายชื่อสำหรับงานวิดวีคด้วยน้าา,1
15,ขอแรงเพื่อนๆ มาช่วยทำงานสถานที่ในวันเฟิร์สเดตหน่อยจ้าา,1
16,น้องๆฝากแจ้งมาว่าเสื้อเฟิร์สมีตสั่งได้ถึงวันที่12นะค้าบ ❤,1
17,"ลงชื่อคนที่จะไปช่วยงานเฟิร์สเดต ฝ่ายสถานที่จ้าา

รายละเอียด
• 21 มิย. 13.00-16.00 (เลทถึง 18.00 ได้ถ้าไม่ทัน)
- ขนของมาลานพระบรมและใต้ไซน์ (มีรถกระบะช่วยขน)
   — ลานพระบรม ตั้งเต้นท์ คัทเอ้าท์
   — ใต้ไซน์ ตั้งเวทีหน้า Tealicious
• 22 มิย. 12.00-16.00
- เคลียร์สถานที่ทั้ง 2 ที่

ขอยอดที่ 20 คนจ้าา",1
